date,new_cases,new_deaths,new_recoveries,total,total_rec,total_deaths,active_cases,vaccinated
2/27/2020,0,0,0,0,0,0,0,
2/28/2020,0,0,0,0,0,0,0,
2/29/2020,0,0,0,0,0,0,0,
3/1/2020,0,0,0,0,0,0,0,
3/2/2020,2,0,0,2,0,0,2,
3/3/2020,0,0,0,2,0,0,2,
3/4/2020,0,0,0,2,0,0,2,
3/5/2020,0,0,0,2,0,0,2,
3/6/2020,1,0,0,3,0,0,3,
3/7/2020,0,0,0,3,0,0,3,
3/8/2020,0,0,0,3,0,0,3,
3/9/2020,9,0,0,12,0,0,12,
3/10/2020,2,0,0,14,0,0,14,
3/11/2020,0,0,0,14,0,0,14,
3/12/2020,9,0,0,23,0,0,23,
3/13/2020,0,0,0,23,0,0,23,
3/14/2020,1,0,0,24,0,0,24,
3/15/2020,5,0,0,29,0,0,29,
3/16/2020,3,0,1,32,1,0,31,
3/17/2020,1,0,0,33,1,0,32,
3/18/2020,4,0,0,37,1,0,36,
3/19/2020,2,0,0,39,1,0,38,
3/20/2020,3,0,0,42,1,0,41,
3/21/2020,4,0,0,46,1,0,45,
3/22/2020,2,0,2,48,3,0,45,
3/23/2020,5,0,0,53,3,0,50,
3/24/2020,7,0,6,60,9,0,51,
3/25/2020,9,0,1,69,10,0,59,
3/26/2020,3,0,1,72,11,0,61,
3/27/2020,6,0,3,78,14,0,64,
3/28/2020,4,0,0,82,14,0,68,
3/29/2020,7,0,4,89,18,0,71,
3/30/2020,1,0,2,90,20,0,70,
3/31/2020,12,0,1,102,21,0,81,
4/1/2020,7,0,2,109,23,0,86,
4/2/2020,20,0,3,129,26,0,103,
4/3/2020,18,0,2,147,28,0,119,
4/4/2020,9,1,8,156,36,1,119,
4/5/2020,13,1,0,169,36,2,131,
4/6/2020,18,0,3,187,39,2,146,
4/7/2020,7,1,7,194,46,3,145,
4/8/2020,13,0,4,207,50,3,154,
4/9/2020,6,0,1,213,51,3,159,
4/10/2020,13,0,3,226,54,3,169,
4/11/2020,6,0,6,232,60,3,169,
4/12/2020,19,0,7,251,67,3,181,
4/13/2020,14,0,1,265,68,3,194,
4/14/2020,30,0,1,295,69,3,223,
4/15/2020,10,0,2,305,71,3,231,
4/16/2020,30,0,5,335,76,3,256,
4/17/2020,34,0,3,369,79,3,287,
4/18/2020,15,1,7,384,86,4,294,
4/19/2020,9,0,7,393,93,4,296,
4/20/2020,5,0,2,398,95,4,299,
4/21/2020,9,0,2,407,97,4,306,
4/22/2020,3,1,10,410,107,5,298,
4/23/2020,9,0,4,419,111,5,303,
4/24/2020,11,0,21,430,132,5,293,
4/25/2020,25,0,7,455,139,5,311,
4/26/2020,29,1,10,484,149,6,329,
4/27/2020,11,0,7,495,156,6,333,
4/28/2020,15,0,12,510,168,6,336,
4/29/2020,6,0,10,516,178,6,332,
4/30/2020,22,0,6,538,184,6,348,
5/1/2020,27,1,23,565,207,7,351,
5/2/2020,16,1,0,581,207,8,366,
5/3/2020,7,1,16,588,223,9,356,
5/4/2020,4,0,0,592,223,9,360,
5/5/2020,11,0,17,603,240,9,354,
5/6/2020,6,0,29,609,269,9,331,
5/7/2020,5,0,6,614,275,9,330,
5/8/2020,8,1,13,622,288,10,324,
5/9/2020,3,0,9,625,297,10,318,
5/10/2020,9,0,12,634,309,10,315,
5/11/2020,3,1,8,637,317,11,309,
5/12/2020,1,0,32,638,349,11,278,
5/13/2020,8,0,23,646,372,11,263,
5/14/2020,5,1,11,651,383,12,256,
5/15/2020,19,0,10,670,393,12,265,
5/16/2020,6,0,26,676,419,12,245,
