"","country_region","metro_area","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"1","Georgia",NA,2020-02-15,4,8,2,4,4,0
"2","Georgia",NA,2020-02-16,7,10,8,6,8,-1
"3","Georgia",NA,2020-02-17,1,3,-1,1,4,0
"4","Georgia",NA,2020-02-18,9,10,2,4,5,-1
"5","Georgia",NA,2020-02-19,4,7,6,6,5,-1
"6","Georgia",NA,2020-02-20,7,10,6,5,4,-1
"7","Georgia",NA,2020-02-21,11,18,14,8,12,-2
"8","Georgia",NA,2020-02-22,6,9,8,6,5,-1
"9","Georgia",NA,2020-02-23,6,9,4,5,8,-1
"10","Georgia",NA,2020-02-24,4,7,7,5,5,-1
"11","Georgia",NA,2020-02-25,1,5,-9,-2,3,0
"12","Georgia",NA,2020-02-26,6,12,8,7,6,-2
"13","Georgia",NA,2020-02-27,7,14,10,4,5,-1
"14","Georgia",NA,2020-02-28,6,13,6,5,12,-1
"15","Georgia",NA,2020-02-29,1,11,0,3,8,0
"16","Georgia",NA,2020-03-01,-4,5,-8,-1,7,1
"17","Georgia",NA,2020-03-02,2,5,4,-1,-7,2
"18","Georgia",NA,2020-03-03,13,11,14,-1,-35,5
"19","Georgia",NA,2020-03-04,4,10,13,4,-6,0
"20","Georgia",NA,2020-03-05,7,11,17,2,-7,0
"21","Georgia",NA,2020-03-06,4,12,13,2,-1,1
"22","Georgia",NA,2020-03-07,1,9,10,1,3,0
"23","Georgia",NA,2020-03-08,16,16,32,7,8,-3
"24","Georgia",NA,2020-03-09,-2,0,13,-4,-11,1
"25","Georgia",NA,2020-03-10,2,6,12,-2,-10,0
"26","Georgia",NA,2020-03-11,-6,6,10,-4,-11,1
"27","Georgia",NA,2020-03-12,-9,5,7,-9,-13,2
"28","Georgia",NA,2020-03-13,-14,7,1,-11,-10,4
"29","Georgia",NA,2020-03-14,-21,8,-11,-12,-5,4
"30","Georgia",NA,2020-03-15,-20,5,3,-12,1,2
"31","Georgia",NA,2020-03-16,-30,-10,-22,-25,-24,9
"32","Georgia",NA,2020-03-17,-34,-7,-23,-28,-30,10
"33","Georgia",NA,2020-03-18,-43,-11,-26,-33,-37,13
"34","Georgia",NA,2020-03-19,-41,-12,-16,-33,-37,13
"35","Georgia",NA,2020-03-20,-45,-4,-13,-32,-37,14
"36","Georgia",NA,2020-03-21,-55,-13,-20,-39,-33,12
"37","Georgia",NA,2020-03-22,-61,-29,-14,-45,-32,10
"38","Georgia",NA,2020-03-23,-59,-32,-12,-47,-52,18
"39","Georgia",NA,2020-03-24,-59,-30,-20,-49,-55,18
"40","Georgia",NA,2020-03-25,-60,-29,-18,-48,-55,18
"41","Georgia",NA,2020-03-26,-60,-31,-18,-50,-55,19
"42","Georgia",NA,2020-03-27,-60,-28,-14,-49,-51,19
"43","Georgia",NA,2020-03-28,-63,-32,-16,-48,-41,13
"44","Georgia",NA,2020-03-29,-67,-36,-24,-53,-38,12
"45","Georgia",NA,2020-03-30,-65,-36,-32,-56,-58,21
"46","Georgia",NA,2020-03-31,-67,-39,-33,-61,-62,22
"47","Georgia",NA,2020-04-01,-68,-39,-30,-59,-62,22
"48","Georgia",NA,2020-04-02,-70,-42,-34,-63,-64,24
"49","Georgia",NA,2020-04-03,-67,-37,-26,-59,-60,23
"50","Georgia",NA,2020-04-04,-71,-40,-33,-61,-52,18
"51","Georgia",NA,2020-04-05,-68,-36,-23,-56,-43,14
"52","Georgia",NA,2020-04-06,-68,-41,-29,-61,-62,23
"53","Georgia",NA,2020-04-07,-69,-40,-34,-63,-64,23
"54","Georgia",NA,2020-04-08,-70,-43,-29,-62,-63,23
"55","Georgia",NA,2020-04-09,-69,-43,-26,-62,-70,24
"56","Georgia",NA,2020-04-10,-65,-36,-21,-57,-59,22
"57","Georgia",NA,2020-04-11,-68,-39,-25,-57,-50,16
"58","Georgia",NA,2020-04-12,-69,-38,-27,-56,-45,14
"59","Georgia",NA,2020-04-13,-65,-40,-18,-58,-60,21
"60","Georgia",NA,2020-04-14,-62,-34,-17,-55,-60,19
"61","Georgia",NA,2020-04-15,-61,-26,-14,-52,-60,18
"62","Georgia",NA,2020-04-16,-67,-35,-26,-60,-63,22
"63","Georgia",NA,2020-04-17,-74,-40,-28,-64,-73,28
"64","Georgia",NA,2020-04-18,-81,-61,-38,-72,-65,23
"65","Georgia",NA,2020-04-19,-84,-71,-37,-74,-59,19
"66","Georgia",NA,2020-04-20,-85,-72,-37,-78,-81,31
"67","Georgia",NA,2020-04-21,-84,-68,-50,-78,-75,29
"68","Georgia",NA,2020-04-22,-83,-64,-50,-77,-73,29
"69","Georgia",NA,2020-04-23,-81,-61,-45,-75,-72,29
"70","Georgia",NA,2020-04-24,-80,-60,-41,-76,-69,29
"71","Georgia",NA,2020-04-25,-81,-60,-42,-73,-60,22
"72","Georgia",NA,2020-04-26,-78,-59,-33,-70,-51,18
"73","Georgia",NA,2020-04-27,-57,-29,-13,-51,-58,17
"74","Georgia",NA,2020-04-28,-58,-31,-18,-53,-59,15
"75","Georgia",NA,2020-04-29,-64,-39,-21,-57,-59,19
"76","Georgia",NA,2020-04-30,-62,-39,-17,-56,-59,19
"77","Georgia",NA,2020-05-01,-64,-39,-23,-58,-56,20
"78","Georgia",NA,2020-05-02,-64,-38,-22,-54,-44,14
"79","Georgia",NA,2020-05-03,-63,-37,-15,-52,-36,11
"80","Georgia",NA,2020-05-04,-64,-43,-24,-58,-57,20
"81","Georgia",NA,2020-05-05,-61,-39,-27,-58,-57,18
