"date","total_hospitalized","share_hospitalized","hospitalized_per_100k","active_patients","share_at_hospital","critical_patients","on_ventilator"
2020-10-20,2817,16.5705882352941,75.7889639215475,10182,27.6664702416028,NA,NA
2020-10-21,3071,18.0647058823529,82.622615620544,11033,27.8346777848273,372,78
2020-10-22,3155,18.5588235294118,84.8825634265113,12033,26.2195628687775,381,77
2020-10-23,3234,19.0235294117647,87.0079905297425,14421,22.4256292906178,397,82
2020-10-24,3571,21.0058823529412,96.0746858941591,16121,22.151231313194,427,97
2020-10-25,3766,22.1529411764706,101.320993300869,17437,21.5977519068647,429,106
2020-10-26,3832,22.5411764705882,103.096666576986,17463,21.9435377655615,429,106
2020-10-27,3847,22.6294117647059,103.500228685195,18718,20.5524094454536,482,105
2020-10-28,4022,23.6588235294118,108.20845328096,18750,21.4506666666667,521,120
2020-10-29,4209,24.7588235294118,113.239527563292,18364,22.9198431714224,511,128
2020-10-30,4200,24.7058823529412,112.997390298367,17142,24.5012250612531,490,121
2020-10-31,4136,24.3294117647059,111.275525303344,15912,25.9929612870789,511,208
2020-11-01,4188,24.6352941176471,112.6745406118,15262,27.440702398113,503,223
2020-11-02,4293,25.2529411764706,115.499475369259,15411,27.8567257153981,519,230
2020-11-03,4253,25.0176470588235,114.42330974737,15501,27.4369395522869,589,281
2020-11-04,4355,25.6176470588235,117.167532083188,15240,28.5761154855643,569,238
2020-11-05,4489,26.4058823529412,120.772686916516,15332,29.2786329246021,638,293
2020-11-06,4618,27.1647058823529,124.243321047109,14525,31.7934595524957,619,268
2020-11-07,4709,27.7,126.691597836907,14551,32.3620369734039,585,345
2020-11-08,4691,27.5941176470588,126.207323307057,14680,31.9550408719346,641,322
2020-11-09,4780,28.1176470588235,128.60179181576,15113,31.6283993912526,645,393
2020-11-10,4709,27.7,126.691597836907,15713,29.9688156303698,656,265
2020-11-11,4878,28.6941176470588,131.238397589389,16158,30.1893798737468,632,308
2020-11-12,4918,28.9294117647059,132.314563211278,16887,29.1229940190679,652,329
2020-11-13,4957,29.1588235294118,133.36382469262,16913,29.3088157038964,633,357
2020-11-14,5355,31.5,144.071672630418,17007,31.4870347503969,749,340
2020-11-15,5592,32.8941176470588,150.447953940111,17315,32.2956973722206,735,334
2020-11-16,5658,33.2823529411765,152.223627216229,16914,33.4515785739624,787,363
2020-11-17,5662,33.3058823529412,152.331243778418,16811,33.6803283564333,740,332
2020-11-18,5763,33.9,155.048561973688,16245,35.4755309325946,836,371
2020-11-19,5833,34.3117647058824,156.931851811994,17112,34.0871902758298,869,377
2020-11-20,5879,34.5823529411765,158.169442277166,18008,32.6466015104398,838,410
2020-11-21,5976,35.1529411764706,160.779143910248,17948,33.2961889904168,849,308
2020-11-22,6189,36.4058823529412,166.509725846808,17974,34.4330699899855,864,386
2020-11-23,6221,36.5941176470588,167.370658344319,18482,33.6597770804026,881,330
2020-11-24,6192,36.4235294117647,166.59043826845,18508,33.455802896045,932,413
2020-11-25,6145,36.1470588235294,165.32594366273,18197,33.769302632302,886,324
2020-11-26,6165,36.2647058823529,165.864026473674,18759,32.8642251719175,986,452
