"date","Adjara","Tbilisi","Imereti","Samegrelo","Shida_Kartli","Kvemo_Kartli","Guria","Kakheti","Samtskhe_Javakheti","Mtskheta_Mtianeti","Racha_Lechkhumi","Abkhazia","Tskhinvali","Others","total"
2020-09-14,109,17,4,0,0,6,NA,NA,NA,NA,NA,NA,NA,29,165
2020-09-15,124,20,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,170
2020-09-16,144,29,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,16,196
2020-09-17,126,15,16,7,0,0,NA,NA,NA,NA,NA,NA,NA,15,179
2020-09-18,129,34,11,0,0,4,NA,NA,NA,NA,NA,NA,NA,4,182
2020-09-19,116,30,15,11,3,2,NA,NA,NA,NA,NA,NA,NA,10,187
2020-09-20,128,30,19,6,1,5,NA,NA,NA,NA,NA,NA,NA,7,196
2020-09-21,92,31,53,8,0,0,NA,NA,NA,NA,NA,NA,NA,9,193
2020-09-22,137,47,26,6,0,0,NA,NA,NA,NA,NA,NA,NA,2,218
2020-09-23,165,34,14,2,0,0,NA,NA,NA,NA,NA,NA,NA,12,227
2020-09-24,164,34,22,15,1,1,NA,NA,NA,NA,NA,NA,NA,22,259
2020-09-25,165,43,27,4,2,3,NA,NA,NA,NA,NA,NA,NA,21,265
2020-09-26,166,41,55,18,0,3,NA,NA,NA,NA,NA,NA,NA,13,296
2020-09-27,193,46,14,11,4,5,NA,NA,NA,NA,NA,NA,NA,21,294
2020-09-28,175,32,38,14,1,7,NA,NA,NA,NA,NA,NA,NA,31,298
2020-09-29,225,35,22,18,9,1,NA,NA,NA,NA,NA,NA,NA,4,314
2020-09-30,235,30,38,14,0,0,NA,NA,NA,NA,NA,NA,NA,9,326
2020-10-01,241,62,96,15,7,0,NA,NA,NA,NA,NA,NA,NA,27,448
2020-10-02,297,78,52,6,6,2,NA,NA,NA,NA,NA,NA,NA,12,453
2020-10-03,360,57,11,22,0,6,NA,NA,NA,NA,NA,NA,NA,15,471
2020-10-04,370,65,63,28,6,11,NA,NA,NA,NA,NA,NA,NA,11,554
2020-10-05,416,72,44,23,1,10,NA,NA,NA,NA,NA,NA,NA,12,578
2020-10-06,348,99,59,19,4,1,NA,NA,NA,NA,NA,NA,NA,19,549
2020-10-07,259,111,91,25,2,5,NA,NA,NA,NA,NA,NA,NA,15,508
2020-10-08,230,134,68,8,6,8,0,5,0,5,0,NA,NA,8,472
2020-10-09,190,179,91,0,10,28,3,11,1,3,0,NA,NA,11,527
2020-10-10,222,137,99,5,7,31,10,3,1,10,0,NA,NA,0,519
2020-10-11,172,194,117,16,7,4,7,3,2,1,0,NA,NA,0,523
2020-10-12,196,178,65,13,6,15,1,0,0,4,0,NA,NA,0,478
2020-10-13,207,168,117,24,25,7,8,5,0,5,0,NA,NA,3,569
2020-10-14,189,297,150,3,12,11,6,2,1,9,0,NA,NA,0,680
2020-10-15,286,366,104,57,21,44,13,13,3,11,1,NA,NA,0,919
2020-10-16,342,277,198,22,12,3,11,7,3,10,2,NA,NA,0,886
2020-10-17,226,397,232,27,14,20,6,13,8,15,0,NA,NA,0,958
2020-10-18,343,471,211,45,37,39,18,11,14,13,0,NA,NA,0,1192
2020-10-19,360,469,99,73,15,78,25,46,7,14,0,NA,NA,0,1186
2020-10-20,193,425,372,27,64,53,21,3,9,18,9,NA,NA,0,1194
2020-10-21,369,445,295,66,23,76,15,20,18,23,1,NA,NA,0,1351
2020-10-22,389,563,335,42,69,77,53,17,24,26,0,NA,NA,0,1595
2020-10-23,487,686,356,69,35,36,17,24,30,12,7,NA,NA,0,1759
2020-10-24,320,1034,258,49,68,107,12,37,18,36,2,NA,NA,0,1941
2020-10-25,551,788,245,93,33,87,35,42,27,20,7,NA,NA,0,1928
2020-10-26,296,913,337,90,54,89,32,13,11,30,7,NA,NA,0,1872
2020-10-27,545,712,305,63,56,48,24,23,22,22,4,NA,NA,0,1824
2020-10-28,333,636,320,119,76,121,18,45,39,9,15,NA,NA,0,1731
2020-10-29,437,445,388,151,125,32,35,40,44,12,0,NA,NA,0,1709
2020-10-30,381,683,313,60,59,117,18,19,34,1,11,NA,NA,0,1696
2020-10-31,351,684,214,86,98,75,41,52,33,23,16,NA,NA,0,1673
2020-11-01,369,532,392,187,62,86,29,57,56,0,21,NA,NA,0,1791
2020-11-02,389,650,441,114,51,68,28,20,27,51,13,NA,NA,0,1852
2020-11-03,506,650,324,200,100,46,47,23,4,39,4,NA,NA,0,1943
2020-11-04,387,989,387,97,133,166,27,47,29,33,0,NA,NA,0,2295
2020-11-05,328,976,368,280,135,61,62,70,55,31,35,NA,NA,0,2401
2020-11-06,503,1044,526,117,177,207,89,36,25,43,8,NA,NA,0,2775
2020-11-07,620,1197,438,138,62,109,63,94,72,38,28,NA,NA,0,2859
2020-11-08,461,1060,340,369,199,181,68,94,45,78,6,NA,NA,0,2901
2020-11-09,411,1033,782,150,74,130,53,133,59,79,23,NA,NA,0,2927
2020-11-10,653,1130,463,202,105,90,67,94,49,93,24,NA,NA,0,2970
2020-11-11,476,1056,469,294,134,201,76,69,92,19,25,NA,NA,0,2911
2020-11-12,502,1033,517,332,126,192,95,100,95,107,21,NA,NA,0,3120
2020-11-13,448,1493,513,287,175,190,55,98,72,119,23,NA,NA,0,3473
2020-11-14,603,1232,619,397,140,122,94,102,76,97,22,NA,NA,0,3504
2020-11-15,410,1354,398,248,153,198,60,126,26,41,6,NA,NA,0,3020
2020-11-16,516,1249,477,212,181,178,82,70,60,121,11,NA,NA,0,3157
2020-11-17,469,1202,302,355,173,259,61,117,65,86,28,NA,NA,0,3117
2020-11-18,512,1318,562,368,178,163,64,85,106,54,33,NA,NA,0,3443
2020-11-19,664,1256,538,304,175,243,127,238,55,91,6,NA,NA,0,3697
2020-11-20,676,1443,541,363,165,183,52,130,95,96,24,NA,NA,0,3768
2020-11-21,742,1247,609,319,197,214,157,150,63,96,30,NA,NA,0,3824
2020-11-22,447,1602,772,389,241,223,114,164,44,48,4,NA,NA,0,4048
2020-11-23,417,2157,537,159,137,190,78,140,40,89,14,NA,NA,0,3958
2020-11-24,576,1504,212,189,101,129,87,116,97,105,12,NA,NA,0,3128
2020-11-25,523,1314,264,232,44,104,106,214,84,165,21,NA,NA,0,3071
2020-11-26,475,1293,793,371,232,270,80,129,62,70,26,NA,NA,0,3801
2020-11-27,664,1863,648,385,259,319,102,280,89,128,43,NA,NA,0,4780
2020-11-28,683,1784,662,247,192,292,123,228,93,127,41,NA,NA,0,4472
2020-11-29,554,1802,637,400,258,268,119,219,50,108,11,NA,NA,0,4426
2020-11-30,313,1622,517,160,82,187,19,161,74,77,4,NA,NA,0,3216
2020-12-01,623,1595,392,237,127,139,152,253,72,126,43,NA,NA,0,3759
2020-12-02,402,1705,624,273,281,286,84,239,68,62,9,NA,NA,0,4033
2020-12-03,525,1676,591,274,294,351,131,166,88,134,30,NA,NA,0,4260
2020-12-04,483,1959,980,408,222,296,122,335,114,130,19,NA,NA,0,5068
2020-12-05,453,2053,931,434,528,339,84,386,105,104,33,NA,NA,0,5450
2020-12-06,491,1615,564,433,253,395,77,236,76,175,6,NA,NA,0,4321
2020-12-07,337,1060,397,177,108,175,32,80,45,90,0,NA,NA,0,2501
2020-12-08,339,1729,673,388,354,419,126,384,111,109,41,NA,NA,0,4673
2020-12-09,489,1637,823,372,381,377,93,328,73,143,18,NA,NA,0,4734
2020-12-10,331,2067,708,325,214,352,72,272,75,133,21,NA,NA,0,4570
2020-12-11,313,1708,636,397,268,281,82,252,69,116,24,NA,NA,0,4146
2020-12-12,333,1588,599,299,263,263,114,243,94,83,28,NA,NA,0,3907
2020-12-13,219,1240,362,203,156,231,40,142,43,84,0,NA,NA,0,2720
2020-12-14,212,571,147,74,48,168,16,41,18,41,1,NA,NA,0,1337
2020-12-15,263,1461,646,404,262,245,100,254,86,90,26,NA,NA,0,3837
2020-12-16,280,1477,533,269,283,254,66,153,76,85,11,NA,NA,0,3487
2020-12-17,228,1282,489,227,160,229,64,145,55,87,15,NA,NA,0,2981
2020-12-18,230,1134,338,199,169,216,66,186,39,46,12,NA,NA,0,2635
2020-12-19,197,1252,495,217,158,236,51,152,43,80,23,NA,NA,0,2904
2020-12-20,142,774,255,122,133,140,25,80,23,33,4,NA,NA,0,1731
2020-12-21,84,333,111,41,78,67,23,35,17,35,0,NA,NA,0,824
2020-12-22,191,1241,497,264,244,246,52,196,53,63,17,NA,NA,0,3064
2020-12-23,139,1017,429,146,192,157,16,158,34,43,14,NA,NA,0,2345
2020-12-24,139,920,279,120,145,112,30,117,32,57,21,NA,NA,0,1972
2020-12-25,97,863,259,112,145,168,35,108,29,54,11,NA,NA,0,1881
2020-12-26,121,801,281,140,119,101,40,110,31,30,10,NA,NA,0,1784
2020-12-27,81,484,185,61,63,84,26,61,17,30,5,NA,NA,0,1097
2020-12-28,68,257,55,34,16,29,14,36,8,19,2,NA,NA,0,538
2020-12-29,125,837,367,155,144,132,31,147,28,34,12,NA,NA,0,2012
2020-12-30,115,743,301,138,100,123,46,107,25,32,8,NA,NA,0,1738
2020-12-31,78,710,239,108,130,63,24,105,14,47,9,NA,NA,0,1527
2021-01-01,72,426,167,68,83,65,15,54,8,29,3,NA,NA,0,990
2021-01-02,20,183,42,30,7,17,4,28,5,6,0,NA,NA,0,342
2021-01-03,37,128,71,45,32,33,9,29,8,24,1,NA,NA,0,417
2021-01-04,64,226,87,64,20,24,32,44,8,20,5,NA,NA,0,594
2021-01-05,125,961,420,201,154,142,40,185,16,57,15,NA,NA,0,2316
2021-01-06,119,735,331,151,103,128,43,116,35,22,17,NA,NA,0,1800
2021-01-07,118,670,257,145,107,106,29,85,25,56,14,NA,NA,0,1612
2021-01-08,47,290,44,31,46,15,6,35,8,15,0,NA,NA,0,537
2021-01-09,107,808,363,183,165,150,36,131,38,62,15,NA,NA,0,2058
2021-01-10,88,488,143,138,64,73,23,58,16,51,1,NA,NA,0,1143
2021-01-11,62,196,84,48,14,24,13,41,23,41,5,NA,NA,0,551
2021-01-12,97,754,334,158,113,143,30,147,29,41,11,NA,NA,0,1857
