"date","cases","total_PCR_tests","total_test","total_daily_tests","daily_PCR_tests","daily_rapid_test","positive","negative","test_per_case_total","test_per_case_daily","daily_positive_pcr_share","total_positive_share","test_per_100k","case_per_100k","av_new_cases","new_case_per_100k","av_new_case_per_100k","total_positive_share_total","...20","total_antigen","pop_share","one_in_four","number_covid_patients","...25"
2020-02-27,1,47,48,18,17,1,0,17,47,0,0,0,1.26449460571982,0.0269041405472302,NA,0,NA,NA,47,1,2.69040030197053e-05,4,3716919,NA
2020-02-28,1,60,61,14,13,1,0,13,60,0,0,0,1.61424843283381,0.0269041405472302,NA,0,NA,0.0166666666666667,60,1,2.69040030197053e-05,4,3716919,NA
2020-02-29,1,95,97,36,35,1,0,35,95,0,0,0,2.55589335198687,0.0269041405472302,NA,0,NA,0.0105263157894737,95,2,2.69040030197053e-05,4,3716919,NA
2020-03-01,1,132,137,38,37,1,0,37,132,0,0,0,3.55134655223439,0.0269041405472302,NA,0,NA,0.00757575757575758,132,5,2.69040030197053e-05,4,3716919,NA
2020-03-02,3,167,174.4,37.4,35,2.4,2,33,55.6666666666667,17.5,5.71428571428571,5.3475935828877,4.49299147138745,0.0807124216416907,NA,0.0538082810944604,NA,0.0179640718562874,167,7.4,8.07120090591159e-05,12,1238973,NA
2020-03-03,3,193,202.8,28.4,26,2.4,0,26,64.3333333333333,0,0,0,5.19249912561543,0.0807124216416907,0.333333333333333,0,NA,0.0155440414507772,193,9.8,8.07120090591159e-05,12,1238973,NA
2020-03-04,3,220,232.2,29.4,27,2.4,0,27,73.3333333333333,0,0,0,5.91891092039065,0.0807124216416907,0.285714285714286,0,0.00768689729920863,0.0136363636363636,220,12.2,8.07120090591159e-05,12,1238973,NA
2020-03-05,3,249,263.6,31.4,29,2.4,0,29,83,0,0,0,6.69913099626032,0.0807124216416907,0.285714285714286,0,0.00768689729920863,0.0120481927710843,249,14.6,8.07120090591159e-05,12,1238973,NA
2020-03-06,4,275,292,28.4,26,2.4,1,25,68.75,26,3.84615384615385,3.52112676056338,7.39863865048831,0.107616562188921,0.428571428571429,0.0269041405472302,0.011530345948813,0.0145454545454545,275,17,0.000107616012078821,16,929229.75,NA
2020-03-07,4,314,333.4,41.4,39,2.4,0,66,78.5,0,0,0,8.44790013183029,0.107616562188921,0.428571428571429,0,0.011530345948813,0.0127388535031847,314,19.4,0.000107616012078821,16,929229.75,NA
2020-03-08,4,365,386.8,53.4,51,2.4,0,24,91.25,0,0,0,9.82001129973903,0.107616562188921,0.428571428571429,0,0.011530345948813,0.010958904109589,365,21.8,0.000107616012078821,16,929229.75,NA
2020-03-09,13,398,422.2,35.4,33,2.4,9,24,30.6153846153846,3.66666666666667,27.2727272727273,25.4237288135593,10.7078479377976,0.349753827113993,1.42857142857143,0.242137264925072,0.0384344864960432,0.0326633165829146,398,24.2,0.000349752039256169,52,285916.846153846,NA
2020-03-10,15,442,468.6,46.4,44,2.4,2,42,29.4666666666667,22,4.54545454545455,4.31034482758621,11.8916301218758,0.403562108208453,1.71428571428571,0.0538082810944604,0.0461213837952518,0.0339366515837104,442,26.6,0.000403560045295579,60,247794.6,NA
2020-03-11,15,486,515,46.4,44,2.4,0,44,32.4,0,0,0,13.0754123059539,0.403562108208453,1.71428571428571,0,0.0461213837952518,0.0308641975308642,486,29,0.000403560045295579,60,247794.6,NA
2020-03-12,24,549,580.4,65.4,63,2.4,9,54,22.875,7,14.2857142857143,13.7614678899083,14.7703731604294,0.645699373133525,3,0.242137264925072,0.0807124216416907,0.0437158469945355,549,31.4,0.000645696072472927,96,154871.625,NA
2020-03-13,24,607,640.8,60.4,58,2.4,0,58,25.2916666666667,0,0,0,16.3308133121687,0.645699373133525,2.85714285714286,0,0.0768689729920863,0.0395387149917628,607,33.8,0.000645696072472927,96,154871.625,NA
2020-03-14,25,678,714.2,73.4,71,2.4,1,70,27.12,71,1.40845070422535,1.36239782016349,18.2410072910221,0.672603513680755,3,0.0269041405472302,0.0807124216416907,0.0368731563421829,678,36.2,0.000672600075492633,100,148676.76,NA
