"","ds","country","polygon_source","polygon_id","polygon_name","all_day_bing_tiles_visited_relative_change","all_day_ratio_single_tile_users","baseline_name","baseline_type"
"1",2020-03-01,"GEO","GADM","GEO.1.1_1","Gagra",-0.03371,0.26943,"full_february","DAY_OF_WEEK"
"2",2020-03-02,"GEO","GADM","GEO.1.1_1","Gagra",0.04567,0.19807,"full_february","DAY_OF_WEEK"
"3",2020-03-03,"GEO","GADM","GEO.1.1_1","Gagra",0.0733,0.15772,"full_february","DAY_OF_WEEK"
"4",2020-03-04,"GEO","GADM","GEO.1.1_1","Gagra",0.0834,0.20919,"full_february","DAY_OF_WEEK"
"5",2020-03-05,"GEO","GADM","GEO.1.1_1","Gagra",0.04356,0.17727,"full_february","DAY_OF_WEEK"
"6",2020-03-06,"GEO","GADM","GEO.1.1_1","Gagra",0.14791,0.18857,"full_february","DAY_OF_WEEK"
"7",2020-03-07,"GEO","GADM","GEO.1.1_1","Gagra",0.13002,0.22769,"full_february","DAY_OF_WEEK"
"8",2020-03-08,"GEO","GADM","GEO.1.1_1","Gagra",0.21244,0.19579,"full_february","DAY_OF_WEEK"
"9",2020-03-09,"GEO","GADM","GEO.1.1_1","Gagra",0.05522,0.21823,"full_february","DAY_OF_WEEK"
"10",2020-03-10,"GEO","GADM","GEO.1.1_1","Gagra",0.07285,0.19145,"full_february","DAY_OF_WEEK"
"11",2020-03-11,"GEO","GADM","GEO.1.1_1","Gagra",0.01511,0.20958,"full_february","DAY_OF_WEEK"
"12",2020-03-12,"GEO","GADM","GEO.1.1_1","Gagra",0.01307,0.21709,"full_february","DAY_OF_WEEK"
"13",2020-03-13,"GEO","GADM","GEO.1.1_1","Gagra",0.14496,0.18704,"full_february","DAY_OF_WEEK"
"14",2020-03-14,"GEO","GADM","GEO.1.1_1","Gagra",-0.0413,0.23095,"full_february","DAY_OF_WEEK"
"15",2020-03-15,"GEO","GADM","GEO.1.1_1","Gagra",-0.05199,0.28321,"full_february","DAY_OF_WEEK"
"16",2020-03-16,"GEO","GADM","GEO.1.1_1","Gagra",-0.09812,0.24164,"full_february","DAY_OF_WEEK"
"17",2020-03-17,"GEO","GADM","GEO.1.1_1","Gagra",-0.0689,0.2494,"full_february","DAY_OF_WEEK"
"18",2020-03-18,"GEO","GADM","GEO.1.1_1","Gagra",-0.05533,0.257,"full_february","DAY_OF_WEEK"
"19",2020-03-19,"GEO","GADM","GEO.1.1_1","Gagra",-0.04747,0.24719,"full_february","DAY_OF_WEEK"
"20",2020-03-20,"GEO","GADM","GEO.1.1_1","Gagra",0.05197,0.23775,"full_february","DAY_OF_WEEK"
"21",2020-03-21,"GEO","GADM","GEO.1.1_1","Gagra",-0.12369,0.25553,"full_february","DAY_OF_WEEK"
"22",2020-03-22,"GEO","GADM","GEO.1.1_1","Gagra",0.14558,0.18392,"full_february","DAY_OF_WEEK"
"23",2020-03-23,"GEO","GADM","GEO.1.1_1","Gagra",-0.03138,0.2167,"full_february","DAY_OF_WEEK"
"24",2020-03-24,"GEO","GADM","GEO.1.1_1","Gagra",-0.02211,0.19139,"full_february","DAY_OF_WEEK"
"25",2020-03-25,"GEO","GADM","GEO.1.1_1","Gagra",-0.06109,0.23209,"full_february","DAY_OF_WEEK"
"26",2020-03-26,"GEO","GADM","GEO.1.1_1","Gagra",-0.16498,0.2634,"full_february","DAY_OF_WEEK"
"27",2020-03-27,"GEO","GADM","GEO.1.1_1","Gagra",-0.09472,0.26908,"full_february","DAY_OF_WEEK"
"28",2020-03-28,"GEO","GADM","GEO.1.1_1","Gagra",-0.27217,0.29722,"full_february","DAY_OF_WEEK"
"29",2020-03-29,"GEO","GADM","GEO.1.1_1","Gagra",-0.23646,0.34182,"full_february","DAY_OF_WEEK"
"30",2020-03-30,"GEO","GADM","GEO.1.1_1","Gagra",-0.36264,0.36697,"full_february","DAY_OF_WEEK"
"31",2020-03-31,"GEO","GADM","GEO.1.1_1","Gagra",-0.39048,0.36434,"full_february","DAY_OF_WEEK"
"32",2020-04-01,"GEO","GADM","GEO.1.1_1","Gagra",-0.39615,0.35857,"full_february","DAY_OF_WEEK"
"33",2020-04-02,"GEO","GADM","GEO.1.1_1","Gagra",-0.43479,0.38414,"full_february","DAY_OF_WEEK"
"34",2020-04-03,"GEO","GADM","GEO.1.1_1","Gagra",-0.33051,0.33111,"full_february","DAY_OF_WEEK"
"35",2020-04-04,"GEO","GADM","GEO.1.1_1","Gagra",-0.39018,0.35923,"full_february","DAY_OF_WEEK"
"36",2020-04-05,"GEO","GADM","GEO.1.1_1","Gagra",-0.32496,0.37034,"full_february","DAY_OF_WEEK"
