"","country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","place_id","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"1","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-15,4,8,2,4,4,0
"2","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-16,7,10,8,6,8,-1
"3","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-17,1,3,-1,1,4,0
"4","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-18,9,10,2,4,5,-1
"5","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-19,4,7,6,6,5,-1
"6","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-20,7,10,6,5,4,-1
"7","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-21,11,18,14,8,12,-2
"8","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-22,6,9,8,6,5,-1
"9","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-23,6,9,4,5,8,-1
"10","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-24,4,7,7,5,5,-1
"11","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-25,1,5,-9,-2,3,0
"12","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-26,6,12,8,7,6,-2
"13","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-27,7,14,10,4,5,-1
"14","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-28,6,13,6,5,12,-1
"15","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-02-29,1,11,0,3,8,0
"16","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-01,-4,5,-8,-1,7,1
"17","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-02,2,5,4,-1,-7,2
"18","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-03,13,11,14,-1,-35,5
"19","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-04,4,10,13,4,-6,0
"20","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-05,7,11,17,2,-7,0
"21","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-06,4,12,13,2,-1,1
"22","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-07,1,9,10,1,3,0
"23","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-08,16,16,32,7,8,-3
"24","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-09,-2,0,13,-4,-11,1
"25","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-10,2,6,12,-2,-10,0
"26","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-11,-6,6,10,-4,-11,1
"27","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-12,-9,5,7,-9,-13,2
"28","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-13,-14,7,1,-11,-10,4
"29","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-14,-21,8,-11,-12,-5,4
"30","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-15,-20,5,3,-12,1,2
"31","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-16,-30,-10,-22,-25,-24,9
"32","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-17,-34,-7,-23,-28,-30,10
"33","GE","Georgia",NA,NA,NA,NA,NA,"ChIJa2JP5tcMREARwkotEmR5kE8",2020-03-18,-43,-11,-26,-33,-37,13
